kategori ['kategori', 'artikel', 'mrebawani', 'wiki', 'cathetan', 'rujukan', 'suku', 'pranala', 'panitra', 'daftar']
sanggeus ['sawisé', 'banjur', 'nalika', 'sabubaré', 'sasuwéné', 'sadurungé', 'sakwisé', 'nganti', 'wis', 'suwéné']
waktu ['wektu', 'wektuné', 'mbutuhaké', 'sawisé', 'wektune', 'nalika', 'bisa', 'lakuné', 'kang', 'nalikane']
waktu ['wektu', 'wektuné', 'mbutuhaké', 'sawisé', 'wektune', 'nalika', 'bisa', 'lakuné', 'kang', 'nalikane']
mangsa ['nalika', 'jaman', 'jamané', 'nalikané', 'mangsa', 'mangsané', 'wektu', 'wiwité', 'isih', 'nganti']
luhur ['dhuwur', 'ngisor', 'ndhuwur', 'cendhèk', 'sadhuwuré', 'mangisor', 'endhek', 'lan', 'mendhuwur', 'endhèk']
jalan ['dalan', 'tol', 'diliwati', 'prapatan', 'ratan', 'dalané', 'setapak', 'jagorawi', 'menggok', 'jalan']
biasana ['asring', 'biasané', 'lumrahé', 'utawa', 'lan', 'bisa', 'saben', 'kanthi', 'racaké', 'kadhangkala']
ngeunaan ['ngenani', 'bab', 'babagan', 'mbahas', 'kepriyé', 'njlèntrèhaké', 'miturut', 'rinci', 'ngrembug', 'dijlèntrèhaké']
hirup ['urip', 'uripé', 'uripe', 'nggrombol', 'tropika', 'dibudidayakaké', 'ékosistem', 'pakulinan', 'nokturnal', 'kauripan']
sok ['kerep', 'lumrahé', 'asring', 'bisa', 'kalané', 'nèk', 'utawa', 'racaké', 'sok', 'kadhang']
kiwari ['saiki', 'sapréné', 'wiwit', 'biyèn', 'seprene', 'wis', 'iki', 'isih', 'sepréné', 'jaman']
pulo ['pulo', 'kapuloan', 'kepuloan', 'pulau', 'gugusan', 'kelemar', 'atol', 'yamdena', 'kepulauan', 'weh']
ékonomi ['ekonomi', 'ékonomi', 'èkonomi', 'sèktor', 'perékonomian', 'krisis', 'matarmaja', 'integrasi', 'perdagangan', 'moneter']
nyieun ['gawé', 'nggawé', 'gawéné', 'digawé', 'gawe', 'ngembangaké', 'mbangun', 'kanggo', 'ngawé', 'gawè']
nyieun ['gawé', 'nggawé', 'gawéné', 'digawé', 'gawe', 'ngembangaké', 'mbangun', 'kanggo', 'ngawé', 'gawè']
nyieun ['gawé', 'nggawé', 'gawéné', 'digawé', 'gawe', 'ngembangaké', 'mbangun', 'kanggo', 'ngawé', 'gawè']
leutik ['cilik', 'gedhé', 'gedhè', 'ciyut', 'ukurane', 'ukurané', 'gèpèng', 'ukuran', 'cendhek', 'lincah']
hal ['prekara', 'émosi', 'bab', 'anggepan', 'orane', 'keyakinan', 'mungkin', 'pemahaman', 'kapercayan', 'argumentasi']
alatan ['amarga', 'nanging', 'mula', 'kang', 'ndadèkaké', 'ora', 'saéngga', 'akibaté', 'amerga', 'yèn']
islam ['islam', 'muslim', 'agama', 'singah', 'panyebar', 'syiar', 'sunni', 'walisanga', 'fiqih', 'aqidah']
karajaan ['karajan', 'kadiri', 'singhasari', 'majapahit', 'majapait', 'kraton', 'karajaan', 'wangsa', 'raja', 'tarumanagara']
dijieun ['digawé', 'kagawé', 'kagawe', 'garan', 'kampak', 'digawè', 'ditatah', 'digunakaké', 'gandhèn', 'nggawé']
dijieun ['digawé', 'kagawé', 'kagawe', 'garan', 'kampak', 'digawè', 'ditatah', 'digunakaké', 'gandhèn', 'nggawé']
dijieun ['digawé', 'kagawé', 'kagawe', 'garan', 'kampak', 'digawè', 'ditatah', 'digunakaké', 'gandhèn', 'nggawé']
sarua ['padha', 'béda', 'kabèh', 'ana', 'bédané', 'iki', 'duwé', 'sembarang', 'sarupa', 'bedha']
asia ['asia', 'afrika', 'asiah', 'india', 'eurasia', 'oceania', 'australasia', 'benua', 'oséania', 'kaukasus']
manusa ['manungsa', 'makluk', 'kéwan', 'makhluk', 'kabungahan', 'évolusi', 'purba', 'nyangkut', 'organisme', 'gaib']
gedé ['gedhé', 'cilik', 'gedhe', 'dhuwur', 'ciut', 'sethithik', 'akèh', 'gedhè', 'amba', 'cethèk']
wétan ['wétan', 'kulon', 'kidul', 'lor', 'tengah', 'wetan', 'mangétan', 'sisih', 'persisé', 'timur']
kitu ['mangkono', 'ora', 'nanging', 'isih', 'mau', 'ngono', 'mung', 'mengkono', 'ana', 'bisa']
sanajan ['sanajan', 'nanging', 'amarga', 'mula', 'sanadyan', 'ora', 'bisa', 'kang', 'lan', 'saiki']
lantaran ['amarga', 'mula', 'nanging', 'banget', 'ora', 'supaya', 'amerga', 'saéngga', 'kang', 'sanajan']
béda ['béda', 'dibédakaké', 'bedané', 'prabédan', 'sifaté', 'liyané', 'beda', 'gumantung', 'bédané', 'jenis']
panjang ['dawa', 'sempit', 'dawané', 'dawane', 'cendhak', 'lonjong', 'mlengkung', 'amba', 'cendhek', 'gagangé']
sangkan ['supaya', 'saéngga', 'karebèn', 'amrih', 'kudu', 'bisa', 'ora', 'kukuh', 'kanggo', 'banjur']
sangkan ['supaya', 'saéngga', 'karebèn', 'amrih', 'kudu', 'bisa', 'ora', 'kukuh', 'kanggo', 'banjur']
ayeuna ['saiki', 'wiwit', 'biyen', 'ing', 'nanging', 'sapréné', 'wiwitane', 'sanajan', 'merga', 'wiwitan']
kajadian ['kadadéan', 'prastawa', 'kedadéan', 'kedaden', 'paprangan', 'kedadéyan', 'paperangan', 'haruhara', 'pertempuran', 'kalakon']
hartina ['tegesé', 'tembung', 'ateges', 'artiné', 'ètimologi', 'ditegesi', 'étimologi', 'barès', 'tegese', 'arti']
jero ['jero', 'njero', 'njeron', 'sandhuwuré', 'membran', 'epidermis', 'mantel', 'ruangan', 'ngisor', 'njeroné']
bangsa ['bangsa', 'perserikatan', 'pasarékatan', 'kolonisasi', 'pribumi', 'nagara', 'migrasi', 'imperialisme', 'sakabèhing', 'kebangkitan']
musik ['musik', 'musiké', 'instrumèn', 'musisi', 'gambus', 'orkestra', 'karawitan', 'perkusi', 'jazz', 'bermusik']
masih ['isih', 'iseh', 'sanajan', 'tetep', 'saiki', 'wis', 'nanging', 'seprene', 'mung', 'jaman']
antarana ['ta', 'kalebu', 'antarané', 'saliyané', 'tuladhané', 'utama', 'ya', 'kang', 'jinis', 'kaya']
antarana ['ta', 'kalebu', 'antarané', 'saliyané', 'tuladhané', 'utama', 'ya', 'kang', 'jinis', 'kaya']
taneuh ['lemah', 'gembur', 'lemahé', 'rabuk', 'lempung', 'lembab', 'jugangan', 'lahan', 'tumpukan', 'drainase']
warna ['warna', 'jambon', 'pucet', 'pigmen', 'pewarnaan', 'abang', 'kecoklatan', 'krèm', 'kekuningan', 'kuning']
km ['km', 'kilomèter', 'mil', 'kilometer', 'kilométer', 'adohe', 'jarakipun', 'saloré', 'jarake', 'adohé']
kurang ['kurang', 'luwih', 'udakara', 'tinimbang', 'ketimbang', 'nganti', 'sitik', 'ambane', 'seprapat', 'sethithik']
ngaliwatan ['lumantar', 'liwat', 'ngliwati', 'menyang', 'ngetutaké', 'iki', 'lan', 'saka', 'kanggo', 'diliwati']
présidén ['présidhèn', 'présidèn', 'presiden', 'mahamantri', 'présidhén', 'jusuf', 'prèsidèn', 'kongres', 'dilantik', 'soekarnoputri']
salila ['suwene', 'suwéné', 'sasuwéné', 'sasuwene', 'sawisé', 'nganti', 'suwené', 'nalika', 'sasuwené', 'sawise']
cm ['cm', 'diameteré', 'diameter', 'lonjong', 'silindris', 'sentimeter', 'diamèter', 'diameteripun', 'sèntimèter', 'diametere']
barang ['barang', 'dagangan', 'antik', 'modhal', 'ajiné', 'perhiasan', 'jamban', 'bagasi', 'mumpangaté', 'mbuwang']
beureum ['abang', 'kuning', 'putih', 'awerna', 'kekuningan', 'pucet', 'jambon', 'kecoklatan', 'klawu', 'kebiruan']
beureum ['abang', 'kuning', 'putih', 'awerna', 'kekuningan', 'pucet', 'jambon', 'kecoklatan', 'klawu', 'kebiruan']
kaayaan ['kaanan', 'kondhisi', 'kahanan', 'kondisi', 'kahanané', 'swasana', 'bebaya', 'tentrem', 'nanging', 'stabilitas']
barat ['barat', 'timur', 'kulon', 'tengah', 'wétan', 'kilen', 'kabupatén', 'diy', 'pemda', 'provinsi']
handap ['ngisor', 'dhuwur', 'ndhuwur', 'mangisor', 'nduwur', 'cendhèk', 'sadhuwuré', 'kacetha', 'diurut', 'endhek']
kahiji ['kapisan', 'pisanan', 'kapapat', 'pungkasan', 'kaloro', 'sapisanan', 'kapindho', 'kapisanan', 'kaping', 'ing']
éksekutip ['matarmaja', 'bogowonto', 'fakultatif', 'berpapasan', 'sembrani', 'bangunkarta', 'gajahwong', 'purwojaya', 'papasan', 'joglosemarkerto']
méré ['mènèhi', 'ménéhi', 'menehi', 'awèh', 'ngewenehi', 'diwènèhi', 'diwènèhaké', 'diwènèhake', 'nyedhiyani', 'maringi']
méré ['mènèhi', 'ménéhi', 'menehi', 'awèh', 'ngewenehi', 'diwènèhi', 'diwènèhaké', 'diwènèhake', 'nyedhiyani', 'maringi']
méré ['mènèhi', 'ménéhi', 'menehi', 'awèh', 'ngewenehi', 'diwènèhi', 'diwènèhaké', 'diwènèhake', 'nyedhiyani', 'maringi']
istilah ['istilah', 'tembung', 'sebutan', 'kontèks', 'basa', 'konteks', 'terminologi', 'konotasi', 'paramasastra', 'sanskerta']
jumlah ['jumlah', 'gunggungé', 'penduduke', 'perkiraan', 'mundhak', 'proporsi', 'populasiné', 'diitung', 'pendhudhuk', 'persen']
prosés ['prosès', 'prosés', 'tahapan', 'proses', 'fotosintesis', 'glukosa', 'réplikasi', 'pembelahan', 'réaksi', 'oksidasi']
sato ['kéwan', 'karnivora', 'hèrbivor', 'mamalia', 'nokturnal', 'pamangsa', 'omnivora', 'manungsa', 'gegremet', 'vertebrata']
bodas ['abang', 'putih', 'ireng', 'kuning', 'kekuningan', 'pucet', 'klawu', 'kecoklatan', 'warnane', 'soklat']
pasar ['pasar', 'swalayan', 'pangsa', 'bekonang', 'senen', 'ngabul', 'grosir', 'blanja', 'gerai', 'penjaja']
alam ['alam', 'kaendahan', 'manungsa', 'konservasi', 'kaéndahan', 'ngalam', 'semesta', 'minsmere', 'alami', 'ékosistem']
arab ['arab', 'yaman', 'berber', 'pèrsi', 'jazirah', 'arabia', 'maghribi', 'ibrani', 'urdu', 'aram']
afrika ['afrika', 'asia', 'kaukasus', 'bawana', 'éropa', 'éropah', 'sudan', 'kamerun', 'india', 'asiah']
sawatara ['sawatara', 'uga', 'kang', 'iki', 'akèh', 'liya', 'rong', 'sawetara', 'iku', 'lan']
widang ['babagan', 'disiplin', 'dhisiplin', 'bidang', 'bidhang', 'ngèlmu', 'ngelmu', 'terapan', 'pangetahuan', 'èlmu']
asup ['mlebu', 'nglebokaké', 'dipindhah', 'dilebokaké', 'pindhah', 'ngalih', 'manggoni', 'dikirim', 'nembus', 'dipindah']
imah ['omah', 'indis', 'omahé', 'payon', 'apartemen', 'joglo', 'apartemèn', 'empyak', 'umah', 'gendhèng']
bumi ['bumi', 'atmosfèr', 'rotasi', 'kutub', 'atmosfer', 'neptunus', 'méga', 'yupiter', 'gravitasi', 'rembulan']
wilayah ['wewengkon', 'laladan', 'tlatah', 'mbawahi', 'pemukiman', 'kawasan', 'provinsi', 'wewengkoné', 'kutha', 'otonomi']
wilayah ['wewengkon', 'laladan', 'tlatah', 'mbawahi', 'pemukiman', 'kawasan', 'provinsi', 'wewengkoné', 'kutha', 'otonomi']
wilayah ['wewengkon', 'laladan', 'tlatah', 'mbawahi', 'pemukiman', 'kawasan', 'provinsi', 'wewengkoné', 'kutha', 'otonomi']
wilayah ['wewengkon', 'laladan', 'tlatah', 'mbawahi', 'pemukiman', 'kawasan', 'provinsi', 'wewengkoné', 'kutha', 'otonomi']
koréa ['koréa', 'korea', 'manchuria', 'seoul', 'chungcheong', 'jeolla', 'cina', 'gyeonggi', 'pyongyang', 'manchu']
jenis ['jinis', 'jenis', 'jinisé', 'jinise', 'jinising', 'ngengat', 'variasi', 'dibédakaké', 'kalebu', 'bèda']
saterusna ['banjur', 'sawisé', 'sabanjuré', 'sadurungé', 'manèh', 'supaya', 'sakwisé', 'wis', 'sasuwéné', 'nalika']
walungan ['kali', 'sungapan', 'mili', 'ilèné', 'gangga', 'ghaggar', 'lepen', 'cimanuk', 'serayu', 'dèlta']
lian ['kajaba', 'liyané', 'amarga', 'saliyané', 'kejaba', 'kaya', 'liya', 'uga', 'mula', 'nanging']
langsung ['langsung', 'liwat', 'spontan', 'mau', 'sengaja', 'lan', 'saéngga', 'nanging', 'kanthi', 'bisa']
pasukan ['wadyabala', 'pasukan', 'wadya', 'sekuthu', 'prajurit', 'peperangan', 'paperangan', 'tentara', 'sakuthu', 'sekutu']
dunia ['donya', 'dunia', 'dunya', 'sakuthu', 'sadonya', 'wés', 'padri', 'internasional', 'ngelawan', 'perancis']
sisi ['pinggir', 'pojok', 'pinggire', 'pinggiré', 'diapit', 'sisih', 'pinggiring', 'pojokan', 'elevasi', 'madhep']
dicutat ['kategori', 'cathetan', 'steenis', 'artikel', 'mikroformat', 'apocynaceae', 'rujukan', 'pranala', 'penghijauan', 'ekologi']
com ['org', 'rsync', 'pranala', 'com', 'info', 'blogspot', 'http', 'iucnredlist', 'archive', 'www']
surat ['surat', 'layang', 'surah', 'pasal', 'kabar', 'izin', 'ayat', 'keputusan', 'makkiyah', 'kaputusan']
lumangsung ['kadadèn', 'nganakaké', 'kadadéan', 'kedadèn', 'ditindakaké', 'dumadiné', 'digelar', 'katindakaké', 'haruhara', 'gedhèn']
puseur ['punjer', 'pusat', 'punjering', 'kutha', 'pamukiman', 'pusaté', 'punjeré', 'wewengkon', 'strategis', 'laladan']
muhammad ['muhammad', 'rasulullah', 'mukamad', 'syekh', 'zaid', 'kufah', 'mahdi', 'thawus', 'syaikh', 'bilal']
awéwé ['wanita', 'wadon', 'lanang', 'wadhon', 'wedok', 'wédok', 'priya', 'wedhok', 'kelamin', 'pria']
dianggap ['dianggep', 'nganggep', 'digambaraké', 'banget', 'diyakini', 'prekara', 'dianggap', 'ora', 'dudu', 'diakoni']
conto ['tuladha', 'conto', 'tembungé', 'dhiagram', 'umpamané', 'contoné', 'tembung', 'kriya', 'uniné', 'katakana']
si ['si', 'djimat', 'goblog', 'cecep', 'galigi', 'unyil', 'putraku', 'kejiman', 'doel', 'harupat']
ngawengku ['nyakup', 'kalebu', 'ngambah', 'dibagi', 'diklompokaké', 'nglimputi', 'kasebar', 'nyrambahi', 'kapérang', 'mérang']
basisir ['pesisir', 'pasisir', 'pulo', 'pasisiré', 'lor', 'pantai', 'fyord', 'semenanjung', 'sebrang', 'plabuhan']
basisir ['pesisir', 'pasisir', 'pulo', 'pasisiré', 'lor', 'pantai', 'fyord', 'semenanjung', 'sebrang', 'plabuhan']
saprak ['wiwit', 'awit', 'nalika', 'kawit', 'taun', 'ing', 'saiki', 'amarga', 'nanging', 'wulan']
ukuran ['ukuran', 'ukurané', 'dhiamèter', 'sedhengan', 'inci', 'pangukuran', 'milimèter', 'bobot', 'dawa', 'ukurane']
tingali ['delengen', 'deleng', 'pirsanana', 'bojanegara', 'cathetan', 'réferènsi', 'pirsani', 'pranala', 'ndelengen', 'èksprès']
baris ['bakal', 'bisa', 'supaya', 'banjur', 'kuwawa', 'kanggo', 'mau', 'kudu', 'wis', 'karebèn']
baris ['bakal', 'bisa', 'supaya', 'banjur', 'kuwawa', 'kanggo', 'mau', 'kudu', 'wis', 'karebèn']
ngaranna ['jenengé', 'jeneng', 'jenenge', 'asmané', 'dijenengi', 'sesilih', 'namane', 'putriné', 'iku', 'wirabhumi']
sistim ['sistem', 'skéma', 'endokrin', 'numerik', 'sistim', 'prosedhur', 'kakebalan', 'mikrokontroler', 'fungsi', 'trigonomètri']
budak ['bocah', 'bayi', 'disunat', 'yatim', 'prawan', 'wong', 'wadon', 'kulina', 'kenalan', 'wedok']
bentuk ['bentuk', 'wangun', 'wujud', 'simetri', 'bentuke', 'krangka', 'penampang', 'dimensi', 'bentukipun', 'intine']
aktor ['aktor', 'aktris', 'penyanyi', 'komedian', 'musisi', 'pemeran', 'musikus', 'sutradara', 'pelawak', 'panyanyi']
tim ['tim', 'klub', 'skuad', 'angguta', 'timnas', 'liga', 'malouda', 'firmino', 'pertandhingan', 'klopp']
waé ['waé', 'ora', 'baé', 'ngerti', 'ngene', 'kaya', 'bisa', 'ngapa', 'kang', 'diumbar']
saméméh ['sadurungé', 'sawisé', 'nalika', 'banjur', 'wis', 'nganti', 'mula', 'sabubaré', 'ing', 'wektu']
saméméh ['sadurungé', 'sawisé', 'nalika', 'banjur', 'wis', 'nganti', 'mula', 'sabubaré', 'ing', 'wektu']
ngawangun ['mbentuk', 'mbangun', 'wujud', 'nggandhèngaké', 'ngleboni', 'yasa', 'awangun', 'misahaké', 'diyasa', 'komplèks']
biasa ['biyasa', 'biasa', 'asring', 'kerep', 'sering', 'lumrahé', 'sebut', 'pakeyan', 'biasané', 'racaké']
usum ['mangsa', 'rendheng', 'usum', 'atis', 'katiga', 'gogrok', 'adem', 'musim', 'hawane', 'udan']
kapal ['kapal', 'selam', 'pesiar', 'ndharat', 'silem', 'hms', 'kendharaan', 'uss', 'rms', 'pelaut']
aksara ['aksara', 'abjad', 'alihaksara', 'foném', 'hanacaraka', 'pallawa', 'brahmi', 'alfabet', 'abugida', 'alfabèt']
jérman ['jerman', 'prusia', 'prancis', 'nazi', 'polen', 'italia', 'wina', 'warsawa', 'jérman', 'slavia']
leuweung ['bakau', 'montane', 'palemahan', 'belukar', 'vegetasi', 'gegodhongan', 'konifer', 'savana', 'sesuketan', 'suket']
awal ['akir', 'pungkasan', 'wiwit', 'wiwitan', 'pertengahan', 'awal', 'éra', 'pungkasaning', 'abad', 'taun']
lalaki ['wadon', 'lanang', 'wadhon', 'wedok', 'wedhok', 'wédok', 'disunat', 'lanag', 'priya', 'bocah']
lalaki ['wadon', 'lanang', 'wadhon', 'wedok', 'wedhok', 'wédok', 'disunat', 'lanag', 'priya', 'bocah']
juni ['oktober', 'juni', 'juli', 'agustus', 'april', 'januari', 'mèi', 'september', 'dhésèmber', 'maret']
maret ['juli', 'juni', 'agustus', 'januari', 'mèi', 'oktober', 'april', 'september', 'dhésèmber', 'tanggal']
héjo ['ijo', 'kuning', 'abang', 'awerna', 'soklat', 'pucet', 'kekuningan', 'jambon', 'warnane', 'klawu']
artikel ['buku', 'artikel', 'wikibooks', 'wikimédia', 'wikisource', 'topik', 'ensiklopedia', 'wikipedia', 'rinci', 'wiktionary']
datang ['teka', 'nekani', 'budhal', 'lunga', 'tekané', 'nemoni', 'lèrèn', 'nginep', 'mara', 'kelakon']
datang ['teka', 'nekani', 'budhal', 'lunga', 'tekané', 'nemoni', 'lèrèn', 'nginep', 'mara', 'kelakon']
atikan ['pendhidhikan', 'pendidikan', 'sekolah', 'menengah', 'pandhidhikan', 'sadrajad', 'pasinaon', 'sekolahan', 'pengajaran', 'manengah']
atikan ['pendhidhikan', 'pendidikan', 'sekolah', 'menengah', 'pandhidhikan', 'sadrajad', 'pasinaon', 'sekolahan', 'pengajaran', 'manengah']
bari ['sinambi', 'sirahé', 'mubeng', 'wetengé', 'tampah', 'ngaso', 'nyekeli', 'tangané', 'menyan', 'mendem']
maranéhanana ['kabèh', 'tujuané', 'sakabehané', 'miguèl', 'tugasé', 'dhèwèké', 'kang', 'garudheya', 'kekarepané', 'gelem']
