Pair translation for k=1
20 [17930]
2318 [1651]
rama ['ramayana']

2340 [53437]
sirkuit ['biskuit']

2367 [17357]
dokter ['physician']

2405 [28273]
gawe ['gawa']

2434 [13959]
pilihan ['pilihane']

2434 [13959]
pilihan ['pilihane']

2482 [9924]
sandi ['sandhi']

2482 [9924]
sandi ['sandhi']

2519 [7109]
banyu ['banyune']

2544 [55761]
takdir ['takbir']

2562 [49275]
padu ['padhu']

2583 [46637]
tumindak ['tumindakan']

2596 [24088]
asih ['asihan']

2596 [24088]
asih ['asihan']

2666 [19670]
tembok ['temboke']

2706 [17840]
situs ['sito']

2706 [17840]
situs ['sito']

2804 [87185]
lare ['lere']

2804 [87185]
lare ['lere']

2851 [5333]
biru ['kuning']

2859 [56124]
tambahan ['optional']

2977 [1948]
sekolah ['sekolahan']

3095 [106822]
nglakoni ['nglakoke']

3102 [48711]
ukuran ['ukuranipun']

3180 [19023]
mbengi ['sawengi']

3181 [107489]
lintang ['lintan']

3194 [5230]
joged ['joget']

3226 [3203]
dna ['rna']

3360 [3607]
dalu ['wengi']

3720 [20850]
wedhus ['wedhuse']

3770 [3033]
hubungan ['relations']

3869 [22048]
paguyuban ['paguron']

4202 [89]
april ['maret']

4277 [9221]
jagad ['jagat']

4594 [93685]
emak ['norak']

4594 [93685]
emak ['norak']

4594 [93685]
emak ['norak']

4594 [93685]
emak ['norak']

4595 [6483]
mbak ['mbah']

4642 [20282]
pelabuhan ['port']

4688 [18842]
bocah ['bocahe']

4698 [4854]
sarapan ['sarap']

4820 [27505]
utek ['uteuk']

4849 [93642]
wedok ['wedoke']

4891 [43107]
bledug ['bledheg']

4926 [46888]
toko ['tokone']

5244 [33796]
pambuka ['pambukaan']

5300 [79768]
penonton ['panonton']

5323 [1301]
wayahe ['wayah']

5325 [18266]
alon ['alot']

5329 [56383]
sekar ['sekat']

5329 [56383]
sekar ['sekat']

5344 [9537]
tamu ['tatu']

5407 [91869]
arahe ['gerakane']

5437 [20956]
turunane ['turune']

5527 [27792]
pak ['pakpak']

5570 [10574]
titik ['titikan']

5570 [10574]
titik ['titikan']

5670 [82198]
kali ['kalinga']

5670 [82198]
kali ['kalinga']

5670 [82198]
kali ['kalinga']

5694 [109861]
kuli ['kulik']

5694 [109861]
kuli ['kulik']

5734 [23050]
utusan ['putusan']

5836 [5519]
putra ['putri']

5836 [5519]
putra ['putri']

5956 [49828]
nyambut ['nyambi']

6021 [11633]
cahya ['cahyaning']

6084 [6050]
dolanan ['dolanane']

6116 [69886]
serangan ['menyerang']

6126 [9076]
tutuk ['tutup']

6128 [19221]
tali ['talingan']

6195 [2924]
wesi ['sawi']

6213 [8871]
bukti ['evidence']

6271 [24274]
pesen ['pesenan']

6300 [104786]
musuh ['musuhipun']

6314 [21478]
omongan ['omong']

6450 [4642]
pantai ['pelabuhan']

6464 [72630]
piano ['cello']

6487 [54985]
buah ['buahan']

6593 [33464]
rawa ['rawan']

6598 [1915]
bojo ['bojone']

6627 [43906]
cah ['cawuh']

6627 [43906]
cah ['cawuh']

6627 [43906]
cah ['cawuh']

6627 [43906]
cah ['cawuh']

6627 [43906]
cah ['cawuh']

6630 [24147]
musisi ['komposer']

6633 [28232]
seda ['meninggal']

6637 [11042]
jantung ['jantunge']

6643 [6678]
kuburan ['kubur']

6643 [6678]
kuburan ['kubur']

6646 [44072]
kapur ['kapuk']

6721 [21670]
tresna ['tresno']

6731 [40335]
ksatria ['ksatriya']

6820 [103531]
mambu ['mambet']

6820 [103531]
mambu ['mambet']

6868 [12111]
asu ['susu']

6872 [7657]
faktor ['factors']

6881 [28974]
macan ['pandan']

6912 [7458]
informasi ['information']

6917 [19950]
sikil ['sikile']

6923 [67949]
udan ['udane']

6935 [46789]
karang ['karangsari']

6948 [88027]
pacet ['silet']

6949 [4717]
pitik ['iwak']

6959 [39227]
walang ['bagong']

7074 [8265]
gedang ['wedang']

7079 [45682]
boso ['bondo']

7111 [1901]
bapak ['bapake']

7116 [109187]
warung ['warunge']

7642 [24427]
rencang ['rencangipun']

7642 [24427]
rencang ['rencangipun']

7643 [17629]
kanca ['kancane']

7643 [17629]
kanca ['kancane']

7643 [17629]
kanca ['kancane']

7643 [17629]
kanca ['kancane']

7643 [17629]
kanca ['kancane']

7643 [17629]
kanca ['kancane']

7730 [23944]
ekspedisi ['ekspedhisi']

7880 [61738]
crita ['gurita']

7950 [21964]
raka ['rak']

7968 [38066]
budhal ['bidhal']

7977 [6078]
pager ['siter']

8008 [42653]
ping ['pingping']

8041 [46817]
bos ['gaur']

8056 [18397]
dluwang ['mbuwang']

8057 [62107]
blabak ['gerobak']

8062 [23240]
awak ['awakna']

8062 [23240]
awak ['awakna']

8064 [17785]
lambe ['lambene']

8067 [18464]
lengen ['lengan']

8067 [18464]
lengen ['lengan']

8134 [41501]
racun ['racunan']

8134 [41501]
racun ['racunan']

8151 [18194]
kontak ['contact']

8187 [91473]
rangkep ['rangkap']

8235 [2052]
farmasi ['farmakologi']

8257 [71607]
godhong ['godhongan']

8257 [71607]
godhong ['godhongan']

8263 [88888]
kas ['kase']

8370 [37836]
angin ['angine']

8419 [9411]
wiji ['wijine']

8480 [48309]
kandhang ['kandhung']

8529 [45159]
rai ['raih']

8554 [9169]
gelombang ['spektrum']

8554 [9169]
gelombang ['spektrum']

8885 [96565]
ingon ['engon']

8885 [96565]
ingon ['engon']

8914 [7508]
got ['get']

8914 [7508]
got ['get']

8920 [2545]
puluhan ['puluh']

9074 [17800]
kuping ['kupinge']

9113 [11490]
penyakit ['disease']

9117 [18283]
pakar ['pacar']

9152 [6900]
irung ['irunge']

9236 [35660]
coklat ['cokelat']

9237 [71032]
salju ['saljuan']

9238 [12062]
kapas ['napas']

9495 [33810]
studi ['penelitian']

9540 [17780]
bisul ['bisu']

9610 [7716]
panuntun ['panuwun']

9671 [68098]
nyawang ['ngawang']

9812 [9913]
endhas ['endhog']

9812 [9913]
endhas ['endhog']

9895 [37869]
geni ['genine']

10041 [27548]
sungu ['sungut']

10081 [28250]
untu ['unta']

10305 [16696]
bandha ['bendha']

10423 [5269]
wedi ['lagi']

10423 [5269]
wedi ['lagi']

10573 [90015]
rega ['rego']

10597 [66222]
panggon ['panggona']

10722 [44153]
awu ['apu']

10722 [44153]
awu ['apu']

10832 [66948]
tim ['timnas']

10989 [10954]
pasar ['pasarean']

11307 [1434]
produk ['produksi']

11532 [14528]
kuliah ['kuliyah']

11532 [14528]
kuliah ['kuliyah']

11534 [3386]
urusan ['rumusan']

11682 [47194]
asosiasi ['agensi']

12010 [8137]
griya ['kriya']

12010 [8137]
griya ['kriya']

12010 [8137]
griya ['kriya']

12033 [65754]
spesialis ['spesial']

12111 [23967]
susu ['sagu']

12469 [56734]
bolongan ['bolonganipun']

12574 [63882]
santa ['sainte']

12667 [22900]
kadal ['kadali']

12678 [56573]
sinyal ['sinyalna']

12701 [112000]
roti ['rotisserie']

12771 [16260]
standar ['standarisasi']

12966 [62246]
serikat ['unidos']

13039 [39205]
berkas ['beruk']

13093 [22148]
kedokteran ['kadokteran']

13119 [46649]
nafsu ['nafkah']

13387 [10494]
alternatif ['alternative']

13387 [10494]
alternatif ['alternative']

13462 [74694]
isin ['isini']

13462 [74694]
isin ['isini']

13534 [63372]
tukaran ['tuker']

13822 [1766]
pedang ['kendang']

13838 [89527]
pos ['posko']

13973 [74596]
pabrik ['pabrike']

14016 [17938]
pimpinan ['pemimpin']

14170 [1158]
hakim ['mahkamah']

14285 [34647]
patemon ['patemone']

14958 [43757]
karir ['karire']

15005 [936]
orbit ['deukeut']

15058 [53278]
guyon ['guyonan']

15576 [9722]
busur ['busuk']

15594 [7111]
bapa ['bapak']

15760 [15681]
bates ['batesan']

15822 [15020]
dulur ['dulurna']

15822 [15020]
dulur ['dulurna']

16087 [1907]
sedulur ['sedulure']

16087 [1907]
sedulur ['sedulure']

16087 [1907]
sedulur ['sedulure']

16378 [30959]
pegawai ['pejabat']

16760 [3692]
dinten ['dintenipun']

17360 [45375]
lomba ['lomban']

17413 [57450]
perpustakaan ['biblioteca']

17523 [6052]
gendhis ['gendhing']

17666 [69955]
pita ['pitapak']

18010 [88960]
langgeng ['cengeng']

18346 [66841]
bayaran ['bayar']

18382 [48339]
sumpah ['sumpahe']

18382 [48339]
sumpah ['sumpahe']

18640 [77353]
salad ['salade']

18714 [46197]
tato ['toga']

18863 [1215]
wali ['walikota']

18900 [4528]
internal ['interior']

18968 [493]
mahasiswa ['pelajar']

19042 [98401]
purnama ['purnamasari']

19198 [21541]
lawang ['lawange']

19198 [21541]
lawang ['lawange']

19198 [21541]
lawang ['lawange']

19215 [42872]
asta ['astagina']

19270 [23462]
biksu ['biksuni']

19327 [42895]
kitha ['ibukutha']

19603 [76816]
pedhes ['pedhet']

19738 [13957]
palemahan ['paimahan']

19788 [11548]
pandeleng ['pandelengan']

19809 [38158]
mempeng ['memulang']

19869 [220]
antik ['klasik']

19869 [220]
antik ['klasik']

20098 [8819]
bom ['bomb']

20174 [6538]
mangkok ['mangkuk']

20260 [46281]
prau ['prahu']

20582 [93833]
wedhok ['wedhoke']

20611 [110087]
gelut ['gelud']

20611 [110087]
gelut ['gelud']

20687 [102337]
nuwun ['suwun']

21230 [64802]
marinir ['infanteri']

21231 [70325]
pangkalan ['pangkalanbun']

21278 [106037]
noda ['nodo']

21308 [23859]
wot ['wok']

21309 [13976]
menara ['tower']

21582 [56657]
blumbang ['blumbangan']

21632 [45748]
tong ['tongkol']

21645 [45639]
mentok ['botok']

21796 [99439]
mayit ['mayite']

21896 [28689]
syarat ['syarate']

21921 [58451]
sulap ['sulam']

22167 [29017]
ruh ['rah']

22930 [44660]
kekuasaan ['kekuasaannya']

22969 [73466]
kunjungan ['kunjunganipun']

23007 [14240]
petani ['farmers']

23155 [27046]
aneh ['anehe']

23212 [16825]
generator ['generators']

23280 [49443]
peti ['petir']

23491 [94048]
wargi ['wargo']

23561 [102518]
pin ['pinch']

23611 [41628]
beluk ['belut']

23611 [41628]
beluk ['belut']

23763 [31449]
sigar ['sigaran']

23918 [83736]
gupernur ['gupitan']

24038 [38693]
abrit ['abrik']

24364 [27180]
satelit ['satelite']

24839 [30873]
wabah ['musibah']

25272 [18495]
dolar ['dollar']

26814 [8067]
cincin ['lengen']

27082 [3640]
lembar ['lembaran']

28185 [19391]
pepadha ['pepadhang']

28238 [35735]
dhukun ['dhuku']

28465 [38664]
eyang ['eyange']

28526 [97006]
persimpangan ['persinggahan']

28613 [55473]
doro ['dolo']

28737 [1391]
peraturan ['undang']

28774 [12316]
pasokan ['patokan']

28996 [49603]
laksamana ['brigadir']

29598 [73717]
moyang ['moyange']

29683 [8051]
delta ['gamma']

29802 [31961]
robot ['robots']

29895 [65624]
pidato ['pidatona']

31059 [52881]
anugrah ['anugraha']

31162 [5243]
sidang ['ajang']

31167 [1947]
usia ['umur']

32008 [103327]
bir ['biryani']

32008 [103327]
bir ['biryani']

32951 [100812]
direktur ['direktor']

33038 [31579]
akun ['idin']

33152 [96325]
dowo ['ponyo']

33674 [48180]
kesenengan ['kasenengan']

34307 [15182]
bungkus ['bungkusan']

34441 [17849]
pamit ['pamitan']

34898 [92832]
ciu ['cium']

35122 [25458]
pegatan ['gugatan']

35444 [30546]
karung ['sarung']

35452 [44140]
plat ['spons']

35697 [6794]
satria ['satriya']

35705 [44298]
wangsulan ['wangsulane']

37868 [11560]
uwuh ['uwoh']

38771 [31686]
kasir ['kasur']

38845 [77402]
ranjang ['rantang']

39062 [14499]
kru ['krungu']

40128 [9915]
mustaka ['duraka']

40128 [9915]
mustaka ['duraka']

40128 [9915]
mustaka ['duraka']

40725 [66103]
toto ['totok']

40919 [39443]
lemu ['hipu']

41191 [23030]
agenda ['kebijakan']

41260 [34680]
amplop ['ampel']

42424 [91860]
hobi ['hoby']

42459 [34392]
beruang ['berlian']

42459 [34392]
beruang ['berlian']

42651 [17705]
jiwo ['kiwo']

42919 [6663]
perkakas ['perhiasan']

44245 [89645]
ngelu ['ngeden']

44692 [24001]
keranjang ['kranjang']

44947 [89778]
leren ['lerene']

44998 [60225]
mriyang ['mriem']

45122 [44072]
kapak ['kapuk']

45190 [106747]
graji ['goji']

45190 [106747]
graji ['goji']

45649 [88665]
japa ['tripa']

45688 [46771]
nongko ['dongko']

45764 [95982]
moto ['motocross']

46695 [5304]
kekal ['nakal']

46754 [88346]
ampeyan ['laweyan']

47179 [45120]
maklumat ['maklum']

47653 [34318]
pil ['pel']

47949 [19369]
kathok ['menthok']

48052 [34418]
metik ['metot']

49358 [112819]
ambulan ['ambula']

49485 [101924]
jadwal ['jadwale']

49485 [101924]
jadwal ['jadwale']

49642 [69860]
formulir ['bagilir']

50841 [91863]
tanduran ['tandurane']

52514 [93666]
pageblug ['pagebluk']

53214 [13557]
laci ['guci']

53277 [54625]
toyan ['tapian']

53278 [15058]
guyonan ['guyon']

54317 [28783]
lobi ['lobang']

54463 [30997]
landasan ['landas']

55257 [54718]
sopir ['sipir']

56654 [109101]
ganja ['ganje']

56800 [51027]
sanding ['banding']

57003 [56175]
taneman ['tanem']

57642 [47477]
hamba ['hambali']

58775 [53071]
gaun ['bran']

60013 [59846]
rojo ['blanco']

60071 [23033]
hukuman ['tahanan']

60949 [25460]
kekajengan ['kemajengan']

60949 [25460]
kekajengan ['kemajengan']

61354 [40246]
krikil ['kerikil']

64561 [21311]
gerbong ['gerbang']

65656 [79232]
suntikan ['suntik']

66578 [9917]
senengi ['senenge']

69126 [47350]
lungo ['tuo']

71591 [14579]
bokong ['bokor']

71591 [14579]
bokong ['bokor']

73474 [8298]
ambisi ['ambisius']

73474 [8298]
ambisi ['ambisius']

76812 [83609]
kampret ['retret']

78725 [22379]
pandamel ['pandamelan']

78725 [22379]
pandamel ['pandamelan']

78751 [27089]
guo ['guoqing']

80397 [18380]
bujangan ['bajingan']

80709 [32198]
kesepian ['kesaktian']

80794 [45719]
prayaan ['perayaan']

80794 [45719]
prayaan ['perayaan']

82683 [2558]
elingan ['eling']

83204 [41450]
kenduri ['kenduren']

83670 [34444]
roso ['rodo']

83853 [110546]
menungso ['menungsa']

83853 [110546]
menungso ['menungsa']

87396 [44813]
jiwit ['jijik']

88430 [98382]
persidangan ['pamidangan']

89649 [99106]
simah ['saidah']

89649 [99106]
simah ['saidah']

91347 [85130]
pelatian ['pelarian']

92160 [81661]
bedhilan ['sedotan']

99115 [93275]
lilo ['calo']

99800 [52013]
demit ['lulut']

101639 [95407]
penthung ['munthu']

103278 [92106]
pitunjuk ['patunjuk']

103496 [17943]
ngentut ['ngenut']

104217 [16674]
kebetahan ['kabetahan']

104217 [16674]
kebetahan ['kabetahan']

106361 [19943]
pipo ['pipa']

107788 [60022]
ndukung ['kadukung']



Pair translation for k=5
20 [17930, 19939, 30244, 13000, 93746]
pucuk ['pucuking', 'pucukan', 'pucukipun', 'pucuke', 'pucukane']

62 [94, 1856, 248, 199, 24837]
dina ['jeung', 'anu', 'nyaeta', 'sarta', 'mangrupakeun']

119 [47349, 1264, 4, 52, 110738]
dadi ['dadine', 'dados', 'iku', 'minangka', 'dadiake']

125 [670, 1139, 920, 8, 119]
kanggo ['kanggone', 'kangge', 'sajeroning', 'kang', 'dadi']

125 [670, 1139, 920, 8, 119]
kanggo ['kanggone', 'kangge', 'sajeroning', 'kang', 'dadi']

142 [17653, 41125, 990, 10215, 2019]
tembung ['tembunge', 'tembungipun', 'tembang', 'tembe', 'teges']

182 [26498, 43690, 16666, 78837, 54722]
kaca ['kacana', 'waca', 'kaku', 'kacane', 'kabaca']

193 [18925, 4781, 5849, 57496, 62342]
anggota ['member', 'members', 'ketua', 'anggotanya', 'anggotaning']

210 [33861, 10080, 19340, 97162, 22134]
dalem ['daleme', 'malem', 'silem', 'polem', 'kalam']

213 [5741, 204, 23941, 41911, 1067]
kidul ['selatan', 'lor', 'kidule', 'kidulipun', 'kiduling']

216 [5410, 94808, 61405, 4134, 755]
wong ['wonge', 'wongan', 'wongsal', 'orang', 'urang']

216 [5410, 94808, 61405, 4134, 755]
wong ['wonge', 'wongan', 'wongsal', 'orang', 'urang']

216 [5410, 94808, 61405, 4134, 755]
wong ['wonge', 'wongan', 'wongsal', 'orang', 'urang']

216 [5410, 94808, 61405, 4134, 755]
wong ['wonge', 'wongan', 'wongsal', 'orang', 'urang']

244 [2856, 10306, 12160, 23957, 1]
aksara ['huruf', 'alfabet', 'aksarane', 'aksarana', 'basa']

244 [2856, 10306, 12160, 23957, 1]
aksara ['huruf', 'alfabet', 'aksarane', 'aksarana', 'basa']

273 [10911, 7571, 53675, 15992, 1850]
populasi ['penduduk', 'population', 'penduduknya', 'populations', 'jumlah']

276 [14904, 54631, 9403, 82392, 1852]
taun ['tahun', 'taunanu', 'taunan', 'taunipun', 'taunna']

276 [14904, 54631, 9403, 82392, 1852]
taun ['tahun', 'taunanu', 'taunan', 'taunipun', 'taunna']

281 [1623, 104509, 32358, 38458, 38599]
islam ['muslim', 'islamisme', 'islamiyah', 'muslims', 'islami']

314 [52752, 864, 35854, 25098, 21240]
dewan ['majlis', 'komite', 'conseil', 'senat', 'kongres']

401 [35159, 5223, 83886, 8427, 15363]
posisi ['kedudukan', 'position', 'posisinya', 'lokasi', 'posisine']

402 [13710, 12225, 40932, 53367, 3518]
pungkasan ['pungkasaning', 'pungkasane', 'pungkas', 'pungkase', 'pungkasanipun']

503 [42820, 14064, 80334, 15213, 35778]
warta ['wasta', 'warata', 'wartel', 'wara', 'dhata']

721 [46893, 13506, 3407, 3321, 13460]
durung ['durunge', 'wurung', 'kapungkur', 'asring', 'sanggup']

752 [26353, 30712, 60504, 2659, 1500]
perang ['peperangan', 'pertempuran', 'guerre', 'war', 'konflik']

799 [28706, 94594, 22272, 103219, 70694]
cathetan ['cathatan', 'chathetan', 'cathethan', 'cathrtan', 'cthetan']

800 [64515, 27448, 43610, 25189, 38277]
suku ['sukune', 'sukuna', 'tribe', 'klan', 'sukubangsa']

803 [3791, 7035, 17327, 3827, 3562]
sumber ['sumbering', 'source', 'sources', 'sumberipun', 'sumbere']

862 [15558, 63371, 71609, 29152, 82241]
kaisar ['emperor', 'kekaisaran', 'imperator', 'tsar', 'kaisare']

862 [15558, 63371, 71609, 29152, 82241]
kaisar ['emperor', 'kekaisaran', 'imperator', 'tsar', 'kaisare']

872 [6797, 16163, 66222, 52607, 10597]
panggonan ['panggonane', 'panganggonan', 'panggona', 'sapanggonan', 'panggon']

872 [6797, 16163, 66222, 52607, 10597]
panggonan ['panggonane', 'panganggonan', 'panggona', 'sapanggonan', 'panggon']

875 [624, 10405, 109064, 28889, 81311]
candhi ['candi', 'candhu', 'candhine', 'candhisari', 'sendhi']

887 [4977, 87851, 14427, 30959, 5849]
wakil ['wakile', 'wakilipun', 'sekretaris', 'pejabat', 'ketua']

888 [2481, 35027, 9170, 8861, 9550]
usaha ['upaya', 'usahane', 'kerja', 'efforts', 'usahana']

956 [937, 973, 455, 25640, 63930]
komunis ['sosialis', 'komunisme', 'nasionalis', 'kapitalis', 'stalinis']

966 [32807, 16519, 69690, 13922, 16875]
alesan ['alesanna', 'alesane', 'alesanana', 'tantangan', 'pamadosan']

976 [62550, 17905, 23838, 110881, 10911]
warga ['warganing', 'wargane', 'wargana', 'warganet', 'penduduk']

976 [62550, 17905, 23838, 110881, 10911]
warga ['warganing', 'wargane', 'wargana', 'warganet', 'penduduk']

976 [62550, 17905, 23838, 110881, 10911]
warga ['warganing', 'wargane', 'wargana', 'warganet', 'penduduk']

1070 [35777, 52575, 23345, 111, 91557]
saiki ['saikine', 'saiku', 'sapuniki', 'kiwari', 'saiket']

1087 [54943, 21334, 89518, 54069, 59544]
istana ['palazzo', 'palace', 'paleis', 'palais', 'palacio']

1143 [44233, 362, 19564, 7015, 30649]
ukara ['ukura', 'swara', 'ukiran', 'ukarane', 'ukar']

1164 [15396, 60858, 64067, 17056, 71950]
hak ['hakikat', 'hakekat', 'haki', 'hakipun', 'hakiki']

1181 [3958, 29598, 90764, 108867, 91874]
tiyang ['tiyangipun', 'moyang', 'penyayang', 'tiyange', 'priyang']

1192 [71432, 3367, 104255, 3947, 16871]
cariyos ['criyos', 'cariyosipun', 'cariyosaken', 'rumiyin', 'kapitadosan']

1277 [49483, 2057, 7938, 8301, 6311]
ide ['ideu', 'konsep', 'ideologi', 'proposal', 'pandangan']

1277 [49483, 2057, 7938, 8301, 6311]
ide ['ideu', 'konsep', 'ideologi', 'proposal', 'pandangan']

1284 [27822, 22404, 18472, 765, 38]
padang ['padangpanjang', 'padangan', 'sumatera', 'lampung', 'sumatra']

1284 [27822, 22404, 18472, 765, 38]
padang ['padangpanjang', 'padangan', 'sumatera', 'lampung', 'sumatra']

1304 [38462, 14570, 11619, 57935, 65044]
perasaan ['siksaan', 'perasaane', 'rarasaan', 'kebiasaan', 'paksaan']

1304 [38462, 14570, 11619, 57935, 65044]
perasaan ['siksaan', 'perasaane', 'rarasaan', 'kebiasaan', 'paksaan']

1305 [14954, 24844, 18826, 21996, 98835]
pribadi ['pribadine', 'pribadina', 'privat', 'keluarga', 'keluarganya']

1305 [14954, 24844, 18826, 21996, 98835]
pribadi ['pribadine', 'pribadina', 'privat', 'keluarga', 'keluarganya']

1305 [14954, 24844, 18826, 21996, 98835]
pribadi ['pribadine', 'pribadina', 'privat', 'keluarga', 'keluarganya']

1393 [66720, 11650, 109082, 29486, 40195]
upah ['opah', 'upas', 'upadi', 'upih', 'upa']

1400 [1960, 16622, 86794, 53845, 36656]
karangan ['karangane', 'penulisan', 'karanganana', 'caritaan', 'penerbitan']

1400 [1960, 16622, 86794, 53845, 36656]
karangan ['karangane', 'penulisan', 'karanganana', 'caritaan', 'penerbitan']

1418 [17700, 41730, 111130, 20513, 36785]
sedoyo ['supoyo', 'sedo', 'lodoyo', 'bedo', 'seko']

1424 [38820, 18843, 74251, 17765, 33978]
mata ['matanya', 'matamu', 'matan', 'matane', 'matana']

1527 [10743, 28760, 29457, 14915, 32762]
lemah ['lemahe', 'celah', 'basah', 'limbah', 'kolah']

1527 [10743, 28760, 29457, 14915, 32762]
lemah ['lemahe', 'celah', 'basah', 'limbah', 'kolah']

1538 [5027, 74410, 1580, 1699, 3886]
seni ['seniman', 'seniwati', 'musik', 'olahraga', 'art']

1551 [3894, 3307, 31469, 88081, 1860]
karakter ['character', 'watak', 'karakterisasi', 'karaktere', 'figur']

1554 [40331, 8212, 218, 95253, 1473]
nomer ['nomerna', 'nomor', 'kaping', 'jumlahipun', 'angka']

1563 [93346, 12701, 96822, 1564, 41463]
kopi ['kopine', 'roti', 'kopik', 'karet', 'cabe']

1608 [44416, 7492, 8063, 3346, 2081]
obah ['obahe', 'obahan', 'obahing', 'owah', 'omah']

1641 [11201, 8200, 43939, 8457, 92125]
rupa ['rupaning', 'rupana', 'rupak', 'rupane', 'rupae']

1648 [14551, 19543, 19751, 5515, 53845]
carita ['cerita', 'kisah', 'caritaning', 'caritane', 'caritaan']

1713 [34409, 43372, 16429, 45797, 134]
dhusun ['dhistrik', 'dhinas', 'dhosen', 'dhukuh', 'laladan']

1723 [50742, 5960, 65749, 9439, 2244]
medali ['penghargaan', 'gelar', 'medals', 'medalists', 'hadiah']

1735 [6896, 2924, 41782, 4716, 45749]
