Pair translation for k=1
20 [17933]
2318 [1651]
rama ['ramayana']

2340 [53446]
sirkuit ['biskuit']

2367 [17352]
dokter ['physician']

2405 [28274]
gawe ['gawa']

2434 [13965]
pilihan ['pilihane']

2434 [13965]
pilihan ['pilihane']

2482 [9942]
sandi ['sandhi']

2482 [9942]
sandi ['sandhi']

2519 [7112]
banyu ['banyune']

2544 [55768]
takdir ['takbir']

2562 [49281]
padu ['padhu']

2583 [46640]
tumindak ['tumindakan']

2596 [24078]
asih ['asihan']

2596 [24078]
asih ['asihan']

2666 [19680]
tembok ['temboke']

2706 [17840]
situs ['sito']

2706 [17840]
situs ['sito']

2804 [87195]
lare ['lere']

2804 [87195]
lare ['lere']

2851 [5333]
biru ['kuning']

2859 [56131]
tambahan ['optional']

2977 [1948]
sekolah ['sekolahan']

3095 [106858]
nglakoni ['nglakoke']

3102 [48715]
ukuran ['ukuranipun']

3180 [19027]
mbengi ['sawengi']

3181 [107524]
lintang ['lintan']

3194 [5230]
joged ['joget']

3226 [3203]
dna ['rna']

3360 [3607]
dalu ['wengi']

3720 [20852]
wedhus ['wedhuse']

3770 [8160]
hubungan ['kontak']

3869 [22043]
paguyuban ['paguron']

4202 [89]
april ['maret']

4277 [9231]
jagad ['jagat']

4594 [93698]
emak ['norak']

4594 [93698]
emak ['norak']

4594 [93698]
emak ['norak']

4594 [93698]
emak ['norak']

4595 [6496]
mbak ['mbah']

4642 [20277]
pelabuhan ['port']

4688 [18849]
bocah ['bocahe']

4698 [4854]
sarapan ['sarap']

4820 [27505]
utek ['uteuk']

4849 [93656]
wedok ['wedoke']

4891 [42729]
bledug ['blegudreg']

4926 [46895]
toko ['tokone']

5244 [33799]
pambuka ['pambukaan']

5300 [79783]
penonton ['panonton']

5323 [1301]
wayahe ['wayah']

5325 [18269]
alon ['alot']

5329 [56390]
sekar ['sekat']

5329 [56390]
sekar ['sekat']

5344 [9540]
tamu ['tatu']

5407 [91880]
arahe ['gerakane']

5437 [20963]
turunane ['turune']

5527 [27798]
pak ['pakpak']

5570 [10589]
titik ['titikan']

5570 [10589]
titik ['titikan']

5670 [82212]
kali ['kalinga']

5670 [82212]
kali ['kalinga']

5670 [82212]
kali ['kalinga']

5694 [675]
kuli ['kulina']

5694 [675]
kuli ['kulina']

5734 [23054]
utusan ['putusan']

5827 [5519]
putra ['putri']

5827 [5519]
putra ['putri']

5960 [49833]
nyambut ['nyambi']

6029 [11645]
cahya ['cahyaning']

6095 [6062]
dolanan ['dolanane']

6103 [69900]
serangan ['menyerang']

6139 [9094]
tutuk ['tutup']

6141 [19223]
tali ['talingan']

6200 [2924]
wesi ['sawi']

6211 [8863]
bukti ['evidence']

6280 [24276]
pesen ['pesenan']

6288 [104816]
musuh ['musuhipun']

6318 [21483]
omongan ['omong']

6436 [4642]
pantai ['pelabuhan']

6465 [54991]
buah ['buahan']

6477 [72645]
piano ['cello']

6603 [33471]
rawa ['rawan']

6608 [1915]
bojo ['bojone']

6621 [6672]
kuburan ['kubur']

6621 [6672]
kuburan ['kubur']

6624 [44076]
kapur ['kapuk']

6647 [43917]
cah ['cawuh']

6647 [43917]
cah ['cawuh']

6647 [43917]
cah ['cawuh']

6647 [43917]
cah ['cawuh']

6647 [43917]
cah ['cawuh']

6650 [24154]
musisi ['komposer']

6653 [28233]
seda ['meninggal']

6657 [11047]
jantung ['jantunge']

6720 [40337]
ksatria ['ksatriya']

6727 [21677]
tresna ['tresno']

6836 [103558]
mambu ['mambet']

6836 [103558]
mambu ['mambet']

6853 [7643]
faktor ['factors']

6877 [12101]
asu ['susu']

6890 [7471]
informasi ['information']

6891 [28980]
macan ['pandan']

6915 [46791]
karang ['karangsari']

6928 [19954]
sikil ['sikile']

6934 [67958]
udan ['udane']

6960 [88037]
pacet ['silet']

6961 [4717]
pitik ['iwak']

6971 [39231]
walang ['bagong']

7088 [8276]
gedang ['wedang']

7093 [45685]
boso ['bondo']

7114 [1901]
bapak ['bapake']

7119 [109226]
warung ['warunge']

7656 [24430]
rencang ['rencangipun']

7656 [24430]
rencang ['rencangipun']

7657 [17633]
kanca ['kancane']

7657 [17633]
kanca ['kancane']

7657 [17633]
kanca ['kancane']

7657 [17633]
kanca ['kancane']

7657 [17633]
kanca ['kancane']

7657 [17633]
kanca ['kancane']

7707 [23954]
ekspedisi ['ekspedhisi']

7888 [61747]
crita ['gurita']

7959 [21964]
raka ['rak']

7977 [38068]
budhal ['bidhal']

7986 [6089]
pager ['siter']

8005 [42659]
ping ['pingping']

8025 [46829]
bos ['gaur']

8068 [18397]
dluwang ['mbuwang']

8069 [62116]
blabak ['gerobak']

8074 [23237]
awak ['awakna']

8074 [23237]
awak ['awakna']

8076 [17788]
lambe ['lambene']

8079 [18464]
lengen ['lengan']

8079 [18464]
lengen ['lengan']

8123 [41510]
racun ['racunan']

8123 [41510]
racun ['racunan']

8160 [18184]
kontak ['contact']

8198 [91484]
rangkep ['rangkap']

8251 [2052]
farmasi ['farmakologi']

8268 [71623]
godhong ['godhongan']

8268 [71623]
godhong ['godhongan']

8274 [88899]
kas ['kase']

8357 [37836]
angin ['angine']

8424 [9423]
wiji ['wijine']

8483 [48311]
kandhang ['kandhung']

8537 [9146]
gelombang ['spektrum']

8537 [9146]
gelombang ['spektrum']

8560 [74306]
rai ['raihan']

8894 [96582]
ingon ['engon']

8894 [96582]
ingon ['engon']

8935 [7492]
got ['get']

8935 [7492]
got ['get']

8941 [2545]
puluhan ['puluh']

9092 [17806]
kuping ['kupinge']

9116 [11495]
penyakit ['disease']

9120 [18286]
pakar ['pacar']

9164 [6910]
irung ['irunge']

9248 [35670]
coklat ['cokelat']

9249 [71047]
salju ['saljuan']

9250 [12047]
kapas ['napas']

9489 [33814]
studi ['penelitian']

9543 [17783]
bisul ['bisu']

9623 [7724]
panuntun ['panuwun']

9680 [68108]
nyawang ['ngawang']

9824 [9931]
endhas ['endhog']

9824 [9931]
endhas ['endhog']

9904 [37873]
geni ['genine']

10055 [27541]
sungu ['sungut']

10098 [28251]
untu ['unta']

10323 [16697]
bandha ['bendha']

10433 [5269]
wedi ['lagi']

10433 [5269]
wedi ['lagi']

10588 [90025]
rega ['rego']

10599 [66232]
panggon ['panggona']

10738 [44156]
awu ['apu']

10738 [44156]
awu ['apu']

10835 [66959]
tim ['timnas']

10998 [10968]
pasar ['pasarean']

11320 [1434]
produk ['produksi']

11531 [14539]
kuliah ['kuliyah']

11531 [14539]
kuliah ['kuliyah']

11533 [3386]
urusan ['rumusan']

11671 [47201]
asosiasi ['agensi']

12013 [8138]
griya ['kriya']

12013 [8138]
griya ['kriya']

12013 [8138]
griya ['kriya']

12023 [65764]
spesialis ['spesial']

12101 [23972]
susu ['sagu']

12468 [56741]
bolongan ['bolonganipun']

12579 [63892]
santa ['sainte']

12666 [22900]
kadal ['kadali']

12677 [56580]
sinyal ['sinyalna']

12699 [112063]
roti ['rotisserie']

12770 [16257]
standar ['standarisasi']

12949 [62255]
serikat ['unidos']

13047 [39212]
berkas ['beruk']

13081 [22142]
kedokteran ['kadokteran']

13118 [46656]
nafsu ['nafkah']

13402 [10493]
alternatif ['alternative']

13402 [10493]
alternatif ['alternative']

13469 [74709]
isin ['isini']

13469 [74709]
isin ['isini']

13539 [63382]
tukaran ['tuker']

13812 [1766]
pedang ['kendang']

13832 [89537]
pos ['posko']

13969 [74612]
pabrik ['pabrike']

14035 [17938]
pimpinan ['pemimpin']

14182 [1158]
hakim ['mahkamah']

14302 [34652]
patemon ['patemone']

14946 [43759]
karir ['karire']

15001 [936]
orbit ['deukeut']

15070 [53284]
guyon ['guyonan']

15591 [9730]
busur ['busuk']

15610 [7114]
bapa ['bapak']

15773 [15682]
bates ['batesan']

15821 [15010]
dulur ['dulurna']

15821 [15010]
dulur ['dulurna']

16091 [1907]
sedulur ['sedulure']

16091 [1907]
sedulur ['sedulure']

16091 [1907]
sedulur ['sedulure']

16381 [30961]
pegawai ['pejabat']

16764 [3692]
dinten ['dintenipun']

17367 [45381]
lomba ['lomban']

17417 [57458]
perpustakaan ['biblioteca']

17527 [6064]
gendhis ['gendhing']

17667 [69969]
pita ['pitapak']

18010 [88970]
langgeng ['cengeng']

18347 [66852]
bayaran ['bayar']

18390 [48344]
sumpah ['sumpahe']

18390 [48344]
sumpah ['sumpahe']

18642 [77368]
salad ['salade']

18718 [46206]
tato ['toga']

18872 [1215]
wali ['walikota']

18889 [4528]
internal ['interior']

18971 [493]
mahasiswa ['pelajar']

19046 [98421]
purnama ['purnamasari']

19202 [21541]
lawang ['lawange']

19202 [21541]
lawang ['lawange']

19202 [21541]
lawang ['lawange']

19217 [42877]
asta ['astagina']

19273 [23464]
biksu ['biksuni']

19329 [42899]
kitha ['ibukutha']

19609 [76831]
pedhes ['pedhet']

19741 [13948]
palemahan ['paimahan']

19788 [11552]
pandeleng ['pandelengan']

19823 [38147]
mempeng ['memulang']

19876 [220]
antik ['klasik']

19876 [220]
antik ['klasik']

20099 [8808]
bom ['bomb']

20170 [6536]
mangkok ['mangkuk']

20266 [46288]
prau ['prahu']

20586 [93847]
wedhok ['wedhoke']

20613 [110130]
gelut ['gelud']

20613 [110130]
gelut ['gelud']

20687 [102363]
nuwun ['suwun']

21232 [64813]
marinir ['infanteri']

21233 [70339]
pangkalan ['pangkalanbun']

21275 [106072]
noda ['nodo']

21319 [23865]
wot ['wok']

21320 [13972]
menara ['tower']

21583 [56664]
blumbang ['blumbangan']

21635 [45754]
tong ['tongkol']

21645 [45640]
mentok ['botok']

21798 [99458]
mayit ['mayite']

21905 [28693]
syarat ['syarate']

21925 [58459]
sulap ['sulam']

22167 [29025]
ruh ['rah']

22927 [44662]
kekuasaan ['kekuasaannya']

22967 [73481]
kunjungan ['kunjunganipun']

23002 [14232]
petani ['farmers']

23157 [27054]
aneh ['anehe']

23212 [16817]
generator ['generators']

23277 [49447]
peti ['petir']

23486 [94062]
wargi ['wargo']

23553 [102545]
pin ['pinch']

23621 [41626]
beluk ['belut']

23621 [41626]
beluk ['belut']

23776 [31451]
sigar ['sigaran']

23919 [83750]
gupernur ['gupitan']

24042 [38695]
abrit ['abrik']

24365 [27186]
satelit ['satelite']

24832 [30876]
wabah ['musibah']

25277 [18492]
dolar ['dollar']

26829 [8079]
cincin ['lengen']

27089 [3640]
lembar ['lembaran']

28186 [684]
pepadha ['sapadha']

28239 [35740]
dhukun ['dhuku']

28467 [38666]
eyang ['eyange']

28530 [97024]
persimpangan ['persinggahan']

28614 [55480]
doro ['dolo']

28740 [1391]
peraturan ['undang']

28775 [12315]
pasokan ['patokan']

29002 [49608]
laksamana ['brigadir']

29602 [73732]
moyang ['moyange']

29685 [8035]
delta ['gamma']

29805 [31963]
robot ['robots']

29899 [65634]
pidato ['pidatona']

31061 [52887]
anugrah ['anugraha']

31166 [5243]
sidang ['ajang']

31171 [1947]
usia ['umur']

32010 [103357]
bir ['biryani']

32010 [103357]
bir ['biryani']

32953 [100833]
direktur ['direktor']

33040 [31583]
akun ['idin']

33154 [96341]
dowo ['ponyo']

33676 [48186]
kesenengan ['kasenengan']

34314 [15194]
bungkus ['bungkusan']

34443 [17850]
pamit ['pamitan']

34904 [92845]
ciu ['cium']

35136 [25464]
pegatan ['gugatan']

35451 [30549]
karung ['sarung']

35456 [44151]
plat ['spons']

35697 [6805]
satria ['satriya']

35717 [44300]
wangsulan ['wangsulane']

37872 [11567]
uwuh ['uwoh']

38781 [31689]
kasir ['kasur']

38851 [77417]
ranjang ['rantang']

39070 [14505]
kru ['krungu']

40131 [9933]
mustaka ['duraka']

40131 [9933]
mustaka ['duraka']

40131 [9933]
mustaka ['duraka']

40726 [66113]
toto ['totok']

40922 [39449]
lemu ['hipu']

41195 [23028]
agenda ['kebijakan']

41267 [34683]
amplop ['ampel']

42427 [91871]
hobi ['hoby']

42462 [100910]
beruang ['beruwang']

42462 [100910]
beruang ['beruwang']

42656 [17710]
jiwo ['kiwo']

42917 [6641]
perkakas ['perhiasan']

44249 [89655]
ngelu ['ngeden']

44694 [24006]
keranjang ['kranjang']

44948 [89788]
leren ['lerene']

44999 [60233]
mriyang ['mriem']

45126 [44076]
kapak ['kapuk']

45194 [106783]
graji ['goji']

45194 [106783]
graji ['goji']

45655 [88676]
japa ['tripa']

45692 [46778]
nongko ['dongko']

45768 [95998]
moto ['motocross']

46704 [5304]
kekal ['nakal']

46756 [88356]
ampeyan ['laweyan']

47186 [45124]
maklumat ['maklum']

47661 [34320]
pil ['pel']

47954 [19371]
kathok ['menthok']

48056 [34420]
metik ['metot']

49359 [112902]
ambulan ['ambula']

49489 [101950]
jadwal ['jadwale']

49489 [101950]
jadwal ['jadwale']

49642 [23143]
formulir ['formulasi']

50850 [91874]
tanduran ['tandurane']

52522 [93679]
pageblug ['pagebluk']

53224 [13548]
laci ['guci']

53283 [54631]
toyan ['tapian']

53284 [15070]
guyonan ['guyon']

54323 [28782]
lobi ['lobang']

54469 [31001]
landasan ['landas']

55264 [54724]
sopir ['sipir']

56661 [109140]
ganja ['ganje']

56807 [51034]
sanding ['banding']

57010 [56182]
taneman ['tanem']

57651 [47482]
hamba ['hambali']

58783 [53082]
gaun ['bran']

60021 [59854]
rojo ['blanco']

60079 [23031]
hukuman ['tahanan']

60957 [25466]
kekajengan ['kemajengan']

60957 [25466]
kekajengan ['kemajengan']

61362 [40249]
krikil ['kerikil']

64572 [21322]
gerbong ['gerbang']

65666 [79247]
suntikan ['suntik']

66588 [9935]
senengi ['senenge']

69140 [47355]
lungo ['tuo']

71607 [14591]
bokong ['bokor']

71607 [14591]
bokong ['bokor']

73489 [8283]
ambisi ['ambisius']

73489 [8283]
ambisi ['ambisius']

76827 [83623]
kampret ['retret']

78740 [22387]
pandamel ['pandamelan']

78740 [22387]
pandamel ['pandamelan']

78766 [27083]
guo ['guoqing']

80411 [18388]
bujangan ['bajingan']

80723 [32203]
kesepian ['kesaktian']

80808 [45725]
prayaan ['perayaan']

80808 [45725]
prayaan ['perayaan']

82697 [2558]
elingan ['eling']

83218 [41448]
kenduri ['kenduren']

83684 [34450]
roso ['rodo']

83867 [110592]
menungso ['menungsa']

83867 [110592]
menungso ['menungsa']

87405 [44814]
jiwit ['jijik']

88440 [98402]
persidangan ['pamidangan']

89659 [99125]
simah ['saidah']

89659 [99125]
simah ['saidah']

91358 [85142]
pelatian ['pelarian']

92171 [81675]
bedhilan ['sedotan']

99134 [93289]
lilo ['calo']

99819 [52018]
demit ['lulut']

101664 [95423]
penthung ['munthu']

103308 [92117]
pitunjuk ['patunjuk']

103523 [17943]
ngentut ['ngenut']

104245 [16678]
kebetahan ['kabetahan']

104245 [16678]
kebetahan ['kabetahan']

106397 [19946]
pipo ['pipa']

107823 [60030]
ndukung ['kadukung']



Pair translation for k=5
20 [17933, 19942, 30248, 13009, 93759]
pucuk ['pucuking', 'pucukan', 'pucukipun', 'pucuke', 'pucukane']

62 [94, 1856, 248, 199, 24830]
dina ['jeung', 'anu', 'nyaeta', 'sarta', 'mangrupakeun']

119 [47354, 1264, 4, 52, 58]
dadi ['dadine', 'dados', 'iku', 'minangka', 'karo']

125 [670, 1139, 920, 119, 49]
kanggo ['kanggone', 'kangge', 'sajeroning', 'dadi', 'lan']

125 [670, 1139, 920, 119, 49]
kanggo ['kanggone', 'kangge', 'sajeroning', 'dadi', 'lan']

142 [17657, 41127, 990, 10224, 2019]
tembung ['tembunge', 'tembungipun', 'tembang', 'tembe', 'teges']

182 [26499, 16670, 43692, 78852, 54728]
kaca ['kacana', 'kaku', 'waca', 'kacane', 'kabaca']

193 [18914, 4781, 5866, 57504, 62351]
anggota ['member', 'members', 'ketua', 'anggotanya', 'anggotaning']

210 [33864, 10097, 19342, 97180, 22145]
dalem ['daleme', 'malem', 'silem', 'polem', 'kalam']

213 [5741, 204, 23951, 41913, 1067]
kidul ['selatan', 'lor', 'kidule', 'kidulipun', 'kiduling']

216 [5410, 94824, 61413, 4134, 755]
wong ['wonge', 'wongan', 'wongsal', 'orang', 'urang']

216 [5410, 94824, 61413, 4134, 755]
wong ['wonge', 'wongan', 'wongsal', 'orang', 'urang']

216 [5410, 94824, 61413, 4134, 755]
wong ['wonge', 'wongan', 'wongsal', 'orang', 'urang']

216 [5410, 94824, 61413, 4134, 755]
wong ['wonge', 'wongan', 'wongsal', 'orang', 'urang']

244 [2856, 10295, 12160, 23949, 1]
aksara ['huruf', 'alfabet', 'aksarane', 'aksarana', 'basa']

244 [2856, 10295, 12160, 23949, 1]
aksara ['huruf', 'alfabet', 'aksarane', 'aksarana', 'basa']

273 [10918, 7554, 53684, 15987, 1850]
populasi ['penduduk', 'population', 'penduduknya', 'populations', 'jumlah']

276 [14913, 54637, 9415, 82406, 1852]
taun ['tahun', 'taunanu', 'taunan', 'taunipun', 'taunna']

276 [14913, 54637, 9415, 82406, 1852]
taun ['tahun', 'taunanu', 'taunan', 'taunipun', 'taunna']

281 [1623, 104538, 32362, 38464, 38605]
islam ['muslim', 'islamisme', 'islamiyah', 'muslims', 'islami']

314 [52765, 864, 35851, 21235, 25107]
dewan ['majlis', 'komite', 'conseil', 'kongres', 'senat']

401 [35161, 5223, 83900, 8409, 24239]
posisi ['kedudukan', 'position', 'posisinya', 'lokasi', 'positions']

402 [13716, 12235, 40938, 53375, 3518]
pungkasan ['pungkasaning', 'pungkasane', 'pungkas', 'pungkase', 'pungkasanipun']

503 [42825, 14070, 80348, 15221, 35791]
warta ['wasta', 'warata', 'wartel', 'wara', 'dhata']

721 [46896, 13511, 3407, 3321, 13467]
durung ['durunge', 'wurung', 'kapungkur', 'asring', 'sanggup']

752 [26349, 30717, 60512, 2659, 1500]
perang ['peperangan', 'pertempuran', 'guerre', 'war', 'konflik']

799 [28708, 94610, 22276, 103249, 70709]
cathetan ['cathatan', 'chathetan', 'cathethan', 'cathrtan', 'cthetan']

800 [64526, 43615, 27444, 25191, 38281]
suku ['sukune', 'tribe', 'sukuna', 'klan', 'sukubangsa']

803 [3791, 7023, 17323, 3827, 3562]
sumber ['sumbering', 'source', 'sources', 'sumberipun', 'sumbere']

862 [15547, 63381, 71625, 29157, 82255]
kaisar ['emperor', 'kekaisaran', 'imperator', 'tsar', 'kaisare']

862 [15547, 63381, 71625, 29157, 82255]
kaisar ['emperor', 'kekaisaran', 'imperator', 'tsar', 'kaisare']

872 [6808, 16162, 66232, 52616, 10599]
panggonan ['panggonane', 'panganggonan', 'panggona', 'sapanggonan', 'panggon']

872 [6808, 16162, 66232, 52616, 10599]
panggonan ['panggonane', 'panganggonan', 'panggona', 'sapanggonan', 'panggon']

875 [624, 10404, 109103, 28893, 81324]
candhi ['candi', 'candhu', 'candhine', 'candhisari', 'sendhi']

887 [4977, 87861, 14439, 30961, 5866]
wakil ['wakile', 'wakilipun', 'sekretaris', 'pejabat', 'ketua']

888 [2481, 9181, 35029, 8850, 9530]
usaha ['upaya', 'kerja', 'usahane', 'efforts', 'usahana']

956 [937, 973, 455, 25644, 63940]
komunis ['sosialis', 'komunisme', 'nasionalis', 'kapitalis', 'stalinis']

966 [32802, 16521, 69704, 13921, 16882]
alesan ['alesanna', 'alesane', 'alesanana', 'tantangan', 'pamadosan']

976 [62559, 17908, 23833, 110926, 10918]
warga ['warganing', 'wargane', 'wargana', 'warganet', 'penduduk']

976 [62559, 17908, 23833, 110926, 10918]
warga ['warganing', 'wargane', 'wargana', 'warganet', 'penduduk']

976 [62559, 17908, 23833, 110926, 10918]
warga ['warganing', 'wargane', 'wargana', 'warganet', 'penduduk']

1070 [35790, 52583, 111, 23366, 91568]
saiki ['saikine', 'saiku', 'kiwari', 'sapuniki', 'saiket']

1087 [54949, 21350, 89528, 54078, 59552]
istana ['palazzo', 'palace', 'paleis', 'palais', 'palacio']

1143 [44238, 362, 19566, 7036, 30651]
ukara ['ukura', 'swara', 'ukiran', 'ukarane', 'ukar']

1164 [15403, 60866, 64077, 17069, 71965]
hak ['hakikat', 'hakekat', 'haki', 'hakipun', 'hakiki']

1181 [3958, 29602, 90775, 108906, 75531]
tiyang ['tiyangipun', 'moyang', 'penyayang', 'tiyange', 'tiwi']

1192 [71448, 3367, 104283, 3947, 16878]
cariyos ['criyos', 'cariyosipun', 'cariyosaken', 'rumiyin', 'kapitadosan']

1277 [49490, 2057, 7919, 8286, 6315]
ide ['ideu', 'konsep', 'ideologi', 'proposal', 'pandangan']

1277 [49490, 2057, 7919, 8286, 6315]
ide ['ideu', 'konsep', 'ideologi', 'proposal', 'pandangan']

1284 [27826, 22407, 18479, 765, 38]
padang ['padangpanjang', 'padangan', 'sumatera', 'lampung', 'sumatra']

1284 [27826, 22407, 18479, 765, 38]
padang ['padangpanjang', 'padangan', 'sumatera', 'lampung', 'sumatra']

1304 [38471, 14573, 11618, 57943, 65055]
perasaan ['siksaan', 'perasaane', 'rarasaan', 'kebiasaan', 'paksaan']

1304 [38471, 14573, 11618, 57943, 65055]
perasaan ['siksaan', 'perasaane', 'rarasaan', 'kebiasaan', 'paksaan']

1305 [14958, 24837, 18826, 21987, 98854]
pribadi ['pribadine', 'pribadina', 'privat', 'keluarga', 'keluarganya']

1305 [14958, 24837, 18826, 21987, 98854]
pribadi ['pribadine', 'pribadina', 'privat', 'keluarga', 'keluarganya']

1305 [14958, 24837, 18826, 21987, 98854]
pribadi ['pribadine', 'pribadina', 'privat', 'keluarga', 'keluarganya']

1393 [66731, 11657, 109121, 29489, 40197]
upah ['opah', 'upas', 'upadi', 'upih', 'upa']

1400 [1960, 16621, 86805, 53854, 36663]
karangan ['karangane', 'penulisan', 'karanganana', 'caritaan', 'penerbitan']

1400 [1960, 16621, 86805, 53854, 36663]
karangan ['karangane', 'penulisan', 'karanganana', 'caritaan', 'penerbitan']

1418 [17701, 41720, 111178, 20519, 36789]
sedoyo ['supoyo', 'sedo', 'lodoyo', 'bedo', 'seko']

1424 [38831, 18850, 74267, 17769, 33980]
mata ['matanya', 'matamu', 'matan', 'matane', 'matana']

1527 [10760, 28757, 29461, 14905, 32766]
lemah ['lemahe', 'celah', 'basah', 'limbah', 'kolah']

1527 [10760, 28757, 29461, 14905, 32766]
lemah ['lemahe', 'celah', 'basah', 'limbah', 'kolah']

1538 [5027, 74426, 1580, 1699, 3886]
seni ['seniman', 'seniwati', 'musik', 'olahraga', 'art']

1551 [3894, 3307, 31471, 88091, 1860]
karakter ['character', 'watak', 'karakterisasi', 'karaktere', 'figur']

1554 [40339, 8221, 218, 95269, 1473]
nomer ['nomerna', 'nomor', 'kaping', 'jumlahipun', 'angka']

1563 [93360, 12699, 96839, 1564, 41469]
kopi ['kopine', 'roti', 'kopik', 'karet', 'cabe']

1608 [44418, 7506, 8075, 3346, 2081]
obah ['obahe', 'obahan', 'obahing', 'owah', 'omah']

1641 [11183, 8183, 43935, 8461, 92136]
rupa ['rupaning', 'rupana', 'rupak', 'rupane', 'rupae']

1648 [14554, 19536, 19751, 5515, 53854]
carita ['cerita', 'kisah', 'caritaning', 'caritane', 'caritaan']

1713 [34416, 43376, 16438, 45804, 134]
dhusun ['dhistrik', 'dhinas', 'dhosen', 'dhukuh', 'laladan']

1723 [50744, 65759, 5938, 9424, 2244]
medali ['penghargaan', 'medals', 'gelar', 'medalists', 'hadiah']

1735 [6906, 2924, 41774, 4716, 45756]
